playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
carribi02,1912,BOS,AL,WS,C,2,2,57,10,4,0,0,false,0,3,4
collira01,1912,BOS,AL,WS,P,2,1,43,0,3,0,0,false,,1,3
gardnla01,1912,BOS,AL,WS,3B,8,8,222,9,13,3,0,false,,,
hallch02,1912,BOS,AL,WS,P,2,0,32,0,5,1,0,false,,1,0
hoopeha01,1912,BOS,AL,WS,RF,8,8,222,16,2,0,1,false,,,
lewisdu01,1912,BOS,AL,WS,LF,8,8,222,14,0,1,0,false,,,
obriebu01,1912,BOS,AL,WS,P,2,2,27,1,6,0,0,false,,5,1
speaktr01,1912,BOS,AL,WS,CF,8,8,222,21,2,2,2,false,,,
stahlja01,1912,BOS,AL,WS,1B,8,8,222,76,3,0,4,false,,,
wagnehe01,1912,BOS,AL,WS,SS,8,8,222,25,24,3,1,false,,,
woodjo02,1912,BOS,AL,WS,P,4,3,66,1,6,0,1,false,,3,1
yerkest02,1912,BOS,AL,WS,2B,8,8,222,14,22,1,1,false,,,
amesre01,1912,NY1,NL,WS,P,1,0,6,0,1,0,0,false,,0,0
beckebe01,1912,NY1,NL,WS,CF,1,1,33,0,1,0,0,false,,,
cranddo01,1912,NY1,NL,WS,P,1,0,6,0,1,0,0,false,,0,0
devorjo01,1912,NY1,NL,WS,LF,4,4,105,3,0,0,0,false,,,
devorjo01,1912,NY1,NL,WS,RF,3,3,83,9,2,1,1,false,,,
doylela01,1912,NY1,NL,WS,2B,8,8,221,15,26,5,1,false,,,
fletcar01,1912,NY1,NL,WS,SS,8,8,204,16,24,4,3,false,,,
herzobu01,1912,NY1,NL,WS,3B,8,8,221,11,15,0,1,false,,,
marquru01,1912,NY1,NL,WS,P,2,2,54,0,4,1,0,false,,2,0
mathech01,1912,NY1,NL,WS,P,3,3,86,1,12,0,0,false,,2,1
merklfr01,1912,NY1,NL,WS,1B,8,8,221,83,1,2,2,false,,,
meyerch01,1912,NY1,NL,WS,C,8,8,206,42,5,1,1,false,0,5,3
murrare01,1912,NY1,NL,WS,LF,4,3,103,9,0,0,0,false,,,
murrare01,1912,NY1,NL,WS,RF,5,5,118,12,1,0,0,false,,,
shafeti01,1912,NY1,NL,WS,SS,3,0,17,1,4,0,0,false,,,
snodgfr01,1912,NY1,NL,WS,CF,7,7,188,17,1,1,0,false,,,
snodgfr01,1912,NY1,NL,WS,LF,1,1,13,0,0,0,0,false,,,
snodgfr01,1912,NY1,NL,WS,RF,1,0,20,0,0,0,0,false,,,
tesreje01,1912,NY1,NL,WS,P,3,3,69,0,10,0,0,false,,1,2
wilsoar01,1912,NY1,NL,WS,C,2,0,15,2,1,1,0,false,0,0,0
burnsge01,1913,NY1,NL,WS,LF,5,5,135,14,0,1,0,false,,,
cranddo01,1913,NY1,NL,WS,P,2,0,14,0,2,0,0,false,,0,0
demaral01,1913,NY1,NL,WS,P,1,1,12,0,2,0,0,false,,1,0
doylela01,1913,NY1,NL,WS,2B,5,5,135,13,19,3,1,false,,,
fletcar01,1913,NY1,NL,WS,SS,5,5,135,8,10,1,0,false,,,
herzobu01,1913,NY1,NL,WS,3B,5,4,129,6,7,0,0,false,,,
marquru01,1913,NY1,NL,WS,P,2,1,27,0,8,0,0,false,,1,0
mathech01,1913,NY1,NL,WS,P,2,2,57,0,5,0,0,false,,0,0
mcleala01,1913,NY1,NL,WS,C,4,4,81,14,2,0,0,false,1,4,0
merklfr01,1913,NY1,NL,WS,1B,4,4,99,37,1,2,0,false,,,
meyerch01,1913,NY1,NL,WS,C,1,1,27,4,2,0,0,false,0,1,1
murrare01,1913,NY1,NL,WS,RF,5,5,135,9,0,0,0,false,,,
shafeti01,1913,NY1,NL,WS,3B,1,1,6,1,0,0,0,false,,,
shafeti01,1913,NY1,NL,WS,CF,5,4,129,7,0,0,0,false,,,
snodgfr01,1913,NY1,NL,WS,1B,1,1,6,1,1,0,0,false,,,
snodgfr01,1913,NY1,NL,WS,CF,1,1,6,2,0,0,0,false,,,
tesreje01,1913,NY1,NL,WS,P,2,1,25,0,1,0,0,false,,3,1
wilsoar01,1913,NY1,NL,WS,C,3,0,27,4,1,0,0,false,0,0,0
wiltsho01,1913,NY1,NL,WS,1B,2,0,30,15,3,0,0,false,,,
bakerfr01,1913,PHA,AL,WS,3B,5,5,138,6,5,1,0,false,,,
barryja01,1913,PHA,AL,WS,SS,5,5,138,8,15,1,5,false,,,
bendech01,1913,PHA,AL,WS,P,2,2,54,0,5,0,0,false,,2,2
bushjo01,1913,PHA,AL,WS,P,1,1,27,0,1,0,1,false,,3,1
collied01,1913,PHA,AL,WS,2B,5,5,138,17,18,1,5,false,,,
lappja01,1913,PHA,AL,WS,C,1,1,30,7,1,0,0,false,0,0,1
mcinnst01,1913,PHA,AL,WS,1B,5,5,138,45,0,0,4,false,,,
murphed02,1913,PHA,AL,WS,RF,5,5,138,14,0,0,0,false,,,
oldriru01,1913,PHA,AL,WS,LF,5,5,138,10,0,0,0,false,,,
planked01,1913,PHA,AL,WS,P,2,2,57,1,3,1,0,false,,0,1
schanwa01,1913,PHA,AL,WS,C,4,4,108,16,4,1,1,false,0,5,3
strunam01,1913,PHA,AL,WS,CF,5,5,138,14,0,0,0,false,,,
cathete01,1914,BSN,NL,WS,LF,1,1,27,2,0,0,0,false,,,
connojo04,1914,BSN,NL,WS,LF,3,3,81,1,2,1,0,false,,,
dealch01,1914,BSN,NL,WS,3B,4,4,117,6,11,0,1,false,,,
eversjo01,1914,BSN,NL,WS,2B,4,4,117,8,16,1,2,false,,,
gowdyha01,1914,BSN,NL,WS,C,4,4,117,31,4,0,1,false,0,2,1
jamesbi02,1914,BSN,NL,WS,P,2,1,33,0,5,0,0,false,,1,0
mannle01,1914,BSN,NL,WS,LF,1,0,9,1,0,0,0,false,,,
mannle01,1914,BSN,NL,WS,RF,1,1,27,0,0,0,0,false,,,
maranra01,1914,BSN,NL,WS,SS,4,4,117,7,13,1,2,false,,,
moranhe01,1914,BSN,NL,WS,RF,3,3,90,2,0,1,0,false,,,
rudoldi01,1914,BSN,NL,WS,P,2,2,54,0,3,0,0,false,,0,1
schmibu01,1914,BSN,NL,WS,1B,4,4,117,52,3,0,3,false,,,
tylerle01,1914,BSN,NL,WS,P,1,1,30,1,5,0,0,false,,1,0
whittpo01,1914,BSN,NL,WS,CF,4,4,117,6,0,0,0,false,,,
bakerfr01,1914,PHA,AL,WS,3B,4,4,111,10,15,0,2,false,,,
barryja01,1914,PHA,AL,WS,SS,4,4,111,5,20,1,2,false,,,
bendech01,1914,PHA,AL,WS,P,1,1,16,1,3,0,2,false,,0,0
bushjo01,1914,PHA,AL,WS,P,1,1,33,0,5,1,0,false,,3,1
collied01,1914,PHA,AL,WS,2B,4,4,111,9,12,0,1,false,,,
lappja01,1914,PHA,AL,WS,C,1,0,9,2,1,0,1,false,0,3,0
mcinnst01,1914,PHA,AL,WS,1B,4,4,111,50,1,0,4,false,,,
murphed02,1914,PHA,AL,WS,RF,4,4,111,4,0,0,0,false,,,
oldriru01,1914,PHA,AL,WS,LF,4,4,111,6,0,0,0,false,,,
pennohe01,1914,PHA,AL,WS,P,1,0,9,0,0,0,0,false,,1,1
planked01,1914,PHA,AL,WS,P,1,1,27,0,1,0,0,false,,2,1
schanwa01,1914,PHA,AL,WS,C,4,4,102,17,4,1,0,false,2,6,3
shawkbo01,1914,PHA,AL,WS,P,1,1,15,0,3,0,0,false,,0,0
strunam01,1914,PHA,AL,WS,CF,2,2,54,4,0,0,0,false,,,
walshji02,1914,PHA,AL,WS,CF,2,2,57,2,0,0,0,false,,,
wyckowe01,1914,PHA,AL,WS,P,1,0,11,1,0,0,0,false,,3,0
barryja01,1915,BOS,AL,WS,2B,5,5,132,10,8,1,0,false,,,
cadyhi01,1915,BOS,AL,WS,C,4,2,72,14,4,0,0,false,0,2,4
carribi02,1915,BOS,AL,WS,C,1,1,27,8,0,0,0,false,0,0,0
fosteru01,1915,BOS,AL,WS,P,2,2,54,4,3,0,1,false,,0,3
gainede01,1915,BOS,AL,WS,1B,1,0,21,9,0,0,0,false,,,
gardnla01,1915,BOS,AL,WS,3B,5,5,132,5,14,0,0,false,,,
hoblidi01,1915,BOS,AL,WS,1B,5,5,111,35,5,1,1,false,,,
hoopeha01,1915,BOS,AL,WS,RF,5,5,132,8,0,1,0,false,,,
janvrha01,1915,BOS,AL,WS,SS,1,0,9,1,0,0,0,false,,,
leonadu01,1915,BOS,AL,WS,P,1,1,27,0,2,0,0,false,,0,0
lewisdu01,1915,BOS,AL,WS,LF,5,5,132,10,1,0,0,false,,,
scottev01,1915,BOS,AL,WS,SS,5,5,123,8,12,0,0,false,,,
shoreer01,1915,BOS,AL,WS,P,2,2,51,0,5,1,0,false,,2,3
speaktr01,1915,BOS,AL,WS,CF,5,5,132,10,0,0,0,false,,,
thomapi01,1915,BOS,AL,WS,C,2,2,33,10,3,0,1,false,0,0,2
